"","taxon_name","lng","lat","early_age","late_age","estimated_age","timeSlice"
"1:218","Mammut americanum",-84.235832,43.093613,0.126,0.0117,0.06885,0.01585
"1:219","Mammut americanum",-84.059998,43.079723,0.126,0.0117,0.06885,0.01585
"1:220","Mammut americanum",-83.611946,43.501389,0.126,0.0117,0.06885,0.01585
"1:221","Mammut americanum",-83.181114,43.535278,0.126,0.0117,0.06885,0.01585
"1:222","Mammut americanum",-83.224998,43.636112,0.126,0.0117,0.06885,0.01585
"1:223","Mammut americanum",-85.833885,42.251945,0.126,0.0117,0.06885,0.01585
"1:224","Mammut americanum",-85.86972,42.164165,0.126,0.0117,0.06885,0.01585
"1:225","Mammut americanum",-86.239998,42.248611,0.126,0.0117,0.06885,0.01585
"1:226","Mammut americanum",-86.127502,42.371387,0.126,0.0117,0.06885,0.01585
"1:227","Mammut americanum",-83.964165,42.231945,0.126,0.0117,0.06885,0.01585
"1:228","Mammut americanum",-83.865829,42.218887,0.126,0.0117,0.06885,0.01585
"1:229","Mammut americanum",-83.806946,42.205833,0.126,0.0117,0.06885,0.01585
"1:230","Mammut americanum",-83.786392,42.176945,0.126,0.0117,0.06885,0.01585
"1:231","Mammut americanum",-83.785835,42.147778,0.126,0.0117,0.06885,0.01585
"1:232","Mammut americanum",-83.863892,42.131668,0.126,0.0117,0.06885,0.01585
"1:233","Mammut americanum",-83.882225,42.117222,0.126,0.0117,0.06885,0.01585
"1:234","Mammut americanum",-83.842781,42.088612,0.126,0.0117,0.06885,0.01585
"1:235","Mammut americanum",-83.628334,42.10611,0.126,0.0117,0.06885,0.01585
"1:236","Mammut americanum",-83.180557,42.206669,0.126,0.0117,0.06885,0.01585
"1:237","Mammut americanum",-83.197777,42.162777,0.126,0.0117,0.06885,0.01585
"1:238","Mammut americanum",-83.233055,42.103333,0.126,0.0117,0.06885,0.01585
"1:239","Mammut americanum",-83.780556,42.201111,0.126,0.0117,0.06885,0.01585
"1:240","Mammut americanum",-85.447502,42.885277,0.126,0.0117,0.06885,0.01585
"1:241","Mammut americanum",-83.209999,42.640556,0.126,0.0117,0.06885,0.01585
"1:243","Mammut americanum",-85.866669,41.266666,0.126,0.0117,0.06885,0.01585
"1:250","Mammut americanum",-98.462502,29,0.126,0.0117,0.06885,0.01585
"1:251","Mammut americanum",-80.15667,32.956112,0.126,0.0117,0.06885,0.01585
"1:255","Mammut americanum",-97.400002,37.766666,0.126,0.0117,0.06885,0.01585
"1:258","Mammut americanus",-96.707497,32.714722,0.126,0.0117,0.06885,0.01585
"1:259","Mammut americanum",-98.255836,30.265278,0.126,0.0117,0.06885,0.01585
"1:260","Mastodon americanus",-103.199997,32.116669,0.126,0.0117,0.06885,0.01585
"1:261","Mastodon americanus",-106.400002,35.258331,0.126,0,0.063,0.01585
"1:262","Mammut americanum",-90.166664,38.900002,0.126,0.0117,0.06885,0.01585
"1:265","Mammut americanum",-90.366669,38.366669,0.126,0.0117,0.06885,0.01585
"1:266","Mammut americanum",-123.116669,48.049999,0.126,0.0117,0.06885,0.01585
"1:269","Mammut americanum",-89.933334,35.516666,0.126,0.0117,0.06885,0.01585
"1:270","Mammut americanum",-82.966667,40.808334,0.126,0.0117,0.06885,0.01585
"1:271","Mastodon americanus",-80.76667,32.216667,0.126,0.0117,0.06885,0.01585
"1:272","Mastodon americanus",-80.133331,32.700001,0.126,0.0117,0.06885,0.01585
"1:273","Mammut americanum",-81.003334,29.2075,0.126,0.0117,0.06885,0.01585
"1:274","Mammut americanum",-78.388885,40.427223,0.126,0.0117,0.06885,0.01585
"1:275","Mammut americanum",-81.762497,36.716946,0.126,0.0117,0.06885,0.01585
"1:276","Mammut americanum",-77.303368,37.290398,0.126,0.0117,0.06885,0.01585
"1:277","Mammut americanum",-79.993889,37.793331,0.126,0.0117,0.06885,0.01585
"1:278","Mammut americanum",-76.287498,36.768333,0.126,0.0117,0.06885,0.01585
"1:279","Mammut americanum",-78.956947,38.46389,0.126,0.0117,0.06885,0.01585
"1:281","Mammut americanum",-79.693611,38.113056,0.126,0.0117,0.06885,0.01585
"1:282","Mammut americanum",-81.769165,36.9575,0.126,0.0117,0.06885,0.01585
"1:283","Mammut americanum",-79.570274,38.332222,0.126,0.0117,0.06885,0.01585
"1:284","Mammut americanum",-81.558609,36.882221,0.126,0,0.063,0.01585
"1:286","Mammut americanum",-76.625557,37.235558,0.126,0.0117,0.06885,0.01585
"1:287","Mammut americanum",-138.916672,69.566666,0.126,0.0117,0.06885,0.01585
"1:288","Mammut americanum",-73,40,0.126,0.0117,0.06885,0.01585
"1:289","Mammut americanum",-73.333336,40.166668,0.126,0.0117,0.06885,0.01585
"1:291","Mammut americanum",-66.050003,41.683334,0.126,0.0117,0.06885,0.01585
"1:292","Mammut americanum",-66.183334,41.533333,0.126,0.0117,0.06885,0.01585
"1:293","Mammut americanum",-73.900002,40.266666,0.126,0.0117,0.06885,0.01585
"1:294","Mammut americanum",-74,40,0.126,0.0117,0.06885,0.01585
"1:295","Mammut americanum",-73.083336,39.833332,0.126,0.0117,0.06885,0.01585
"1:296","Mammut americanum",-73.25,39.833332,0.126,0.0117,0.06885,0.01585
"1:297","Mammut americanum",-73.933334,39.766666,0.126,0.0117,0.06885,0.01585
"1:298","Mammut americanum",-73.5,39.75,0.126,0.0117,0.06885,0.01585
"1:299","Mammut americanum",-73.199997,39.716667,0.126,0.0117,0.06885,0.01585
"1:300","Mammut americanum",-72.783333,39.700001,0.126,0.0117,0.06885,0.01585
"1:301","Mammut americanum",-73.833336,39.666668,0.126,0.0117,0.06885,0.01585
"1:302","Mammut americanum",-74,39.583332,0.126,0.0117,0.06885,0.01585
"1:303","Mammut americanum",-72.5,39.5,0.126,0.0117,0.06885,0.01585
"1:304","Mammut americanum",-74.25,39,0.126,0.0117,0.06885,0.01585
"1:305","Mammut americanum",-74.5,39,0.126,0.0117,0.06885,0.01585
"1:306","Mammut americanum",-73.333336,38.583332,0.126,0.0117,0.06885,0.01585
"1:307","Mammut americanum",-75,37.5,0.126,0.0117,0.06885,0.01585
"1:308","Mammut americanum",-74.883331,36.933334,0.126,0.0117,0.06885,0.01585
"1:309","Mammut americanum",-74.816666,36.450001,0.126,0.0117,0.06885,0.01585
"1:310","Mammut americanum",-75.5,36.366669,0.126,0.0117,0.06885,0.01585
"1:311","Mammut americanum",-76,35,0.126,0.0117,0.06885,0.01585
"1:312","Mammut americanum",-73.833336,40.049999,0.126,0.0117,0.06885,0.01585
"1:317","Mammut americanum",-79.725281,38.910278,0.126,0.0117,0.06885,0.01585
"1:319","Mammut americanum",-111.26667,39.583332,0.126,0.0117,0.06885,0.01585
"1:323","Mammut americanum",-80.400002,25.700001,0.126,0.0117,0.06885,0.01585
"1:324","Mastodon americanus",-82.699997,27.799999,0.126,0.0117,0.06885,0.01585
"1:325","Mammut americanum",-80.599998,28.083332,0.126,0.0117,0.06885,0.01585
"1:326","Mastodon americanus",-82.788002,29.950001,0.126,0.0117,0.06885,0.01585
"1:327","Mammut americanum",-81.900002,27.17,0.126,0.0117,0.06885,0.01585
"1:328","Mammut americanum",-82.476387,29.407499,0.126,0.0117,0.06885,0.01585
"1:329","Mammut americanum",-82.599998,29.85,0.126,0.0117,0.06885,0.01585
"1:330","Mammut americanum",-80.166664,26.700001,0.126,0.0117,0.06885,0.01585
"1:332","Mammut americanum",-90.85778,32.31694,0.126,0.0117,0.06885,0.01585
"1:334","Mammut americanum",-98.623055,20.050833,0.126,0.0117,0.06885,0.01585
"1:335","Mammut americanum",-98.333336,20.016666,0.126,0.0117,0.06885,0.01585
"1:336","Mammut americanum",-98.633057,20,0.126,0.0117,0.06885,0.01585
"1:337","Mammut americanum",-86.34861,41.148335,0.126,0.0117,0.06885,0.01585
"1:339","Mammut americanum",-85.737923,42.863617,0.126,0.0117,0.06885,0.01585
"1:340","Mammut americanum",-83.757225,42.22678,0.126,0.0117,0.06885,0.01585
"1:342","Mastodon americanus",-97.188499,27.883499,0.126,0.0117,0.06885,0.01585
"1:343","Mammut americanum",-90.789833,35.008148,0.126,0.0117,0.06885,0.01585
"1:344","Mammut americanum",-81.816666,42.5,0.126,0.0117,0.06885,0.01585
